product,process,company,location,complex,capacity_kt,year_built,age_2025,remaining_life,retirement_year_40yr
Butadiene,Naphtha Cracker,Daehan Oil Chemical,Ulsan,Ulsan Complex,146,2023,2,38,2063
Benzene,BTX Plant,OCI,Gwangyang,Other Regions,200,1995,30,10,2035
Benzene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,240,2011,14,26,2051
Benzene,BTX Plant,HD Hyundai Chemical,Daesan,Daesan Complex,410,2016,9,31,2056
Benzene,BTX Plant,HDHyundai Oilbank,Daesan,Daesan Complex,338,1997,28,12,2037
Benzene,BTX Plant,LG Chem,Daesan,Daesan Complex,270,1991,34,6,2031
Benzene,BTX Plant,Hanwha TotalEnergies,Daesan,Daesan Complex,1267,1991,34,6,2031
Benzene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,235,1992,33,7,2032
Benzene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,630,1992,33,7,2032
Benzene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,457,1979,46,-6,2019
Benzene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,930,1990,35,5,2030
Benzene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,210,2008,17,23,2048
Benzene,BTX Plant,S-Oil,Onsan,Ulsan Complex,672,1991,34,6,2031
Benzene,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,110,1986,39,1,2026
Benzene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,603,1972,53,-13,2012
Benzene,BTX Plant,Ulsan Aromatics,Ulsan,Ulsan Complex,600,2014,11,29,2054
Benzene,BTX Plant,SK Incheon Petrochemical,Incheon,Other Regions,600,2006,19,21,2046
Toluene,BTX Plant,OCI,Gwangyang,Other Regions,40,1995,30,10,2035
Toluene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,120,2011,14,26,2051
Toluene,BTX Plant,LG Chem,Daesan,Daesan Complex,100,2011,14,26,2051
Toluene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,220,1992,33,7,2032
Toluene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,112,1992,33,7,2032
Toluene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,282,1979,46,-6,2019
Toluene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,170,1990,35,5,2030
Toluene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,78,2008,17,23,2048
Toluene,BTX Plant,S-Oil,Onsan,Ulsan Complex,300,1991,34,6,2031
Toluene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,1506,2070,-45,85,2110
Xylene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,60,2011,14,26,2051
Xylene,BTX Plant,HD Hyundai Chemical,Daesan,Daesan Complex,1350,2016,9,31,2056
Xylene,BTX Plant,LG Chem,Daesan,Daesan Complex,0,2011,14,26,2051
Xylene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,79,1992,33,7,2032
Xylene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,60,1992,33,7,2032
Xylene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,204,1979,46,-6,2019
Xylene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,350,1990,35,5,2030
Xylene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,47,2008,17,23,2048
Xylene,BTX Plant,S-Oil,Onsan,Ulsan Complex,450,1991,34,6,2031
Xylene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,894,2070,-45,85,2110
O-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,210,1980,45,-5,2020
O-X,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,200,1990,35,5,2030
M-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,360,1998,27,13,2038
P-X,BTX Plant,HDHyundai Oilbank,Daesan,Daesan Complex,1460,1997,28,12,2037
P-X,BTX Plant,Hanwha TotalEnergies,Daesan,Daesan Complex,2000,1997,28,12,2037
P-X,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,1350,1990,35,5,2030
P-X,BTX Plant,S-Oil,Onsan,Ulsan Complex,1900,1997,28,12,2037
P-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,750,1980,45,-5,2020
P-X,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,830,1990,35,5,2030
P-X,BTX Plant,Ulsan Aromatics,Ulsan,Ulsan Complex,1000,2014,11,29,2054
P-X,BTX Plant,SK Incheon Petrochemical,Incheon,Other Regions,1500,2014,11,29,2054
C-H,Naphtha Cracker,Caprolactam,Ulsan,Ulsan Complex,190,2000,25,15,2040
SM,Utility,Lotte Chemical,Daesan,Daesan Complex,350,2005,20,20,2045
SM,Utility,LG Chem,Daesan,Daesan Complex,577,2006,19,21,2046
SM,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,1071,1991,34,6,2031
SM,Utility,Yeochon NCC,Yeosu,Yeosu Complex,351,1986,39,1,2026
SM,Utility,SKpicglobal,Ulsan,Ulsan Complex,400,1990,35,5,2030
EDC,Utility,LG Chem,Yeosu,Yeosu Complex,810,1996,29,11,2036
EDC,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,1586,1980,45,-5,2020
EDC,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,385,1991,34,6,2031
VCM,Utility,LG Chem,Daesan,Daesan Complex,230,1997,28,12,2037
VCM,Utility,LG Chem,Yeosu,Yeosu Complex,720,1990,35,5,2030
VCM,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,583,1979,46,-6,2019
VCM,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,264,1972,53,-13,2012
PC,Utility,Lotte Chemical,Yeosu,Yeosu Complex,480,2008,17,23,2048
PC,Utility,LG Chem,Yeosu,Yeosu Complex,170,2001,24,16,2041
PC,Utility,Samyang Chemical,Jeonju,Other Regions,120,1999,26,14,2039
LDPE,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,300,2021,4,36,2061
LDPE,Utility,LG Chem,Daesan,Daesan Complex,280,2006,19,21,2046
LDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,435,1991,34,6,2031
LDPE,Utility,LG Chem,Yeosu,Yeosu Complex,180,1990,35,5,2030
LDPE,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,337,1979,46,-6,2019
LDPE,Utility,Lotte Chemical,Ulsan,Ulsan Complex,120,1972,53,-13,2012
LDPE,Utility,Lotte Chemical,Daesan,Daesan Complex,500,2005,20,20,2045
L-LDPE,Utility,LG Chem,Daesan,Daesan Complex,125,2006,19,21,2046
L-LDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,530,2004,21,19,2044
L-LDPE,Utility,DL Chemical,Yeosu,Yeosu Complex,10,2010,15,25,2050
L-LDPE,Utility,Lotte Chemical,Yeosu,Yeosu Complex,600,2019,6,34,2059
L-LDPE,Utility,LG Chem,Yeosu,Yeosu Complex,425,2021,4,36,2061
L-LDPE,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,288,1986,39,1,2026
L-LDPE,Utility,SSNC,Ulsan,Ulsan Complex,180,2015,10,30,2055
L-LDPE,Utility,SK Geocentric,Ulsan,Ulsan Complex,550,1990,35,5,2030
HDPE,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,575,2021,4,36,2061
HDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,180,1991,34,6,2031
HDPE,Utility,DL Chemical,Yeosu,Yeosu Complex,630,1980,45,-5,2020
HDPE,Utility,Lotte Chemical,Yeosu,Yeosu Complex,360,1992,33,7,2032
HDPE,Utility,LG Chem,Yeosu,Yeosu Complex,500,1992,33,7,2032
HDPE,Utility,GS Caltex,Yeosu,Yeosu Complex,650,2021,4,36,2061
HDPE,Utility,Daehan Oil Chemical,Onsan,Ulsan Complex,210,1976,49,-9,2016
HDPE,Utility,SK Geocentric,Ulsan,Ulsan Complex,490,1990,35,5,2030
PP,Utility,Lotte Chemical,Daesan,Daesan Complex,500,2005,20,20,2045
PP,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,380,2021,4,36,2061
PP,Utility,LG Chem,Daesan,Daesan Complex,1117,2006,19,21,2046
PP,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,600,1991,34,6,2031
PP,Utility,Lotte Chemical,Yeosu,Yeosu Complex,180,1979,46,-6,2019
PP,Utility,GS Caltex,Yeosu,Yeosu Complex,730,1987,38,2,2027
PP,Utility,Poly Mirae,Yeosu,Yeosu Complex,405,1993,32,8,2033
PP,Utility,S-Oil,Onsan,Ulsan Complex,550,2018,7,33,2058
PP,Utility,Daehan Oil Chemical,Onsan,Ulsan Complex,432,1976,49,-9,2016
PP,Utility,SK Geocentric,Ulsan,Ulsan Complex,400,1990,35,5,2030
PP,Utility,Ulsan PP,Ulsan,Ulsan Complex,600,2021,4,36,2061
PP,Utility,Hyosung Chemical,Ulsan,Ulsan Complex,0,1991,34,6,2031
PS,Utility,LG Chem,Yeosu,Yeosu Complex,40,1984,41,-1,2024
PS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,265,1973,52,-12,2013
PS,Utility,HDC Hyundai EP,Ulsan,Ulsan Complex,148,1989,36,4,2029
PS,Utility,Korea INEOS Styrolution,Ulsan,Ulsan Complex,266,1985,40,0,2025
EPS,Utility,SH Energy Chemical,Gunsan,Other Regions,100,1973,52,-12,2013
EPS,Utility,Lotte Chemical,Yeosu,Yeosu Complex,90,1989,36,4,2029
EPS,Utility,LG Chem,Yeosu,Yeosu Complex,90,1984,41,-1,2024
EPS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,80,1973,52,-12,2013
EPS,Utility,HDC Hyundai EP,Ulsan,Ulsan Complex,80,1989,36,4,2029
EPS,Utility,BASF Korea,Ulsan,Ulsan Complex,85,1982,43,-3,2022
ABS,Utility,Lotte Chemical,Yeosu,Yeosu Complex,757,1989,36,4,2029
ABS,Utility,LG Chem,Yeosu,Yeosu Complex,1030,1978,47,-7,2018
ABS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,290,1973,52,-12,2013
ABS,Utility,Korea INEOS Styrolution,Ulsan,Ulsan Complex,276,1990,35,5,2030
PVC,Utility,LG Chem,Daesan,Daesan Complex,240,1998,27,13,2038
PVC,Utility,LG Chem,Yeosu,Yeosu Complex,450,1976,49,-9,2016
PVC,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,480,1990,35,5,2030
PVC,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,330,2066,-41,81,2106
TPA,Utility,Hanwha Impact,Daesan,Daesan Complex,700,1997,28,12,2037
TPA,Utility,Samnam Petrochemical,Yeosu,Yeosu Complex,1500,1990,35,5,2030
TPA,Utility,Lotte Chemical,Ulsan,Ulsan Complex,0,1990,35,5,2030
TPA,Utility,Hanwha Impact,Ulsan,Ulsan Complex,1300,1995,30,10,2035
TPA,Utility,Taekwang Industrial,Ulsan,Ulsan Complex,1000,1980,45,-5,2020
TPA,Utility,Hyosung Chemical,Ulsan,Ulsan Complex,420,1997,28,12,2037
PIA,Utility,Lotte Chemical,Ulsan,Ulsan Complex,0,1998,27,13,2038
CPLM,Utility,Caprolactam,Ulsan,Ulsan Complex,270,1974,51,-11,2014
DMT,Utility,SK Chemical,Ulsan,Ulsan Complex,160,1989,36,4,2029
EG,Utility,Lotte Chemical,Daesan,Daesan Complex,730,2005,20,20,2045
EG,Utility,LG Chem,Daesan,Daesan Complex,0,2006,19,21,2046
EG,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,218,1991,34,6,2031
EG,Utility,Lotte Chemical,Yeosu,Yeosu Complex,400,1979,46,-6,2019
EG,Utility,Daehan Oil Chemical,Ulsan,Ulsan Complex,200,2014,11,29,2054
AN,Utility,Dongseo Petrochemical,Ulsan,Ulsan Complex,602,1972,53,-13,2012
AN,Utility,Taekwang Industrial,Ulsan,Ulsan Complex,290,1997,28,12,2037
SBR,Utility,LG Chem,Daesan,Daesan Complex,80,1996,29,11,2036
SBR,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,183,1973,52,-12,2013
S-SBR,Utility,LG Chem,Daesan,Daesan Complex,80,2012,13,27,2052
S-SBR,Utility,Kumho Petrochemical,Yeosu,Yeosu Complex,123,2012,13,27,2052
S-SBR,Utility,Lotte Versalis Elastomers,Yeosu,Yeosu Complex,100,2018,7,33,2058
SB-Latex,Utility,LG Chem,Daesan,Daesan Complex,20,1996,29,11,2036
SB-Latex,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,85,1983,42,-2,2023
SB-Latex,Utility,Korea Trinseo,Ulsan,Ulsan Complex,43,1990,35,5,2030
SB-Latex,Utility,Hansol Chemical,Jeonju,Other Regions,60,1996,29,11,2036
BR,Utility,LG Chem,Daesan,Daesan Complex,220,1996,29,11,2036
BR,Utility,Kumho Petrochemical,Yeosu,Yeosu Complex,275,1980,45,-5,2020
NBR,Utility,LG Chem,Daesan,Daesan Complex,65,1996,29,11,2036
NBR,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,92,1987,38,2,2027
NB-Latex,Utility,LG Chem,Yeosu,Yeosu Complex,205,2008,17,23,2048
NB-Latex,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,946,2012,13,27,2052
NB-Latex,Utility,Hansol Chemical,Jeonju,Other Regions,28,2021,4,36,2061
EPDM,Utility,Kumho Polychem,Yeosu,Yeosu Complex,310,1987,38,2,2027
EPDM,Utility,Lotte Versalis Elastomers,Yeosu,Yeosu Complex,96,2018,7,33,2058
Acetic Acid,Utility,Lotte INEOS Chemical,Ulsan,Ulsan Complex,710,1991,34,6,2031
Vinyl Acetate,Utility,Lotte INEOS Chemical,Ulsan,Ulsan Complex,460,1996,29,11,2036
Ethanol,Utility,Korea Alcohol Industrial,Ulsan,Ulsan Complex,70,1974,51,-11,2014
Ethyl Acetate,Utility,Korea Alcohol Industrial,Ulsan,Ulsan Complex,123,1989,36,4,2029
Alkylbenzene,Utility,ISU Chemical,Ulsan,Ulsan Complex,180,1973,52,-12,2013
PA,Utility,LG Chem,Yeosu,Yeosu Complex,0,1992,33,7,2032
PA,Utility,Aekyung Chemical,Ulsan,Ulsan Complex,210,1972,53,-13,2012
PA,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,0,1997,28,12,2037
PA,Utility,OCI,Pohang,Other Regions,60,1983,42,-2,2023
MA,Utility,Aekyung Chemical,Ulsan,Ulsan Complex,8,1988,37,3,2028
MA,Utility,Yongsan Chemical,Ulsan,Ulsan Complex,38,1976,49,-9,2016
MA,Utility,Korea PTG,Ulsan,Ulsan Complex,30,1992,33,7,2032
MA,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,0,1998,27,13,2038
TDI,Utility,OCI,Gunsan,Other Regions,50,1990,35,5,2030
TDI,Utility,BASF Korea,Yeosu,Yeosu Complex,160,1988,37,3,2028
TDI,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,150,1981,44,-4,2021
MDI,Utility,Downing Chemical,Yeosu,Yeosu Complex,30,2018,7,33,2058
MDI,Utility,Kumho Mitsui Chemical,Yeosu,Yeosu Complex,610,1992,33,7,2032
MDI,Utility,BASF Korea,Yeosu,Yeosu Complex,250,1992,33,7,2032
Phenol,Utility,LG Chem,Daesan,Daesan Complex,360,2013,12,28,2053
Phenol,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,680,1980,45,-5,2020
Phenol,Utility,LG Chem,Yeosu,Yeosu Complex,350,2005,20,20,2045
Acetone,Utility,LG Chem,Daesan,Daesan Complex,225,2013,12,28,2053
Acetone,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,420,1980,45,-5,2020
Acetone,Utility,LG Chem,Yeosu,Yeosu Complex,210,2005,20,20,2045
BPA,Utility,Samyang Innochem,Gunsan,Other Regions,180,2012,13,27,2052
BPA,Utility,LG Chem,Daesan,Daesan Complex,165,2013,12,28,2053
BPA,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,450,1991,34,6,2031
BPA,Utility,LG Chem,Yeosu,Yeosu Complex,330,2005,20,20,2045
Epoxy Resin,Utility,Bluecube Chemical,Gumi,Other Regions,52,1990,35,5,2030
Epoxy Resin,Utility,Kolon Industries,Gimcheon,Other Regions,0,2007,18,22,2047
Epoxy Resin,Utility,Kukdo Chemical,Busan/Iksan/Siheung,Other Regions,530,1973,52,-12,2013
Epoxy Resin,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,338,2019,6,34,2059
Octanol,Utility,LG Chem,Naju,Other Regions,125,1982,43,-3,2022
Octanol,Utility,LG Chem,Yeosu,Yeosu Complex,0,1996,29,11,2036
Octanol,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,152,1997,28,12,2037
Butanol,Utility,LG Chem,Naju,Other Regions,55,1982,43,-3,2022
Butanol,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,12,1997,28,12,2037
PPG,Utility,Kumho Petrochemical,Yeosu,Yeosu Complex,152,1997,28,12,2037
PPG,Utility,PU Core,Ulsan,Ulsan Complex,220,1988,37,3,2028
PPG,Utility,KPX Chemical,Ulsan,Ulsan Complex,298,1990,35,5,2030
PPG,Utility,BASF Korea,Ulsan,Ulsan Complex,119,1975,50,-10,2015
MMA,Utility,Lotte MCC,Daesan,Daesan Complex,90,1995,30,10,2035
MMA,Utility,Lotte MCC,Yeosu,Yeosu Complex,97,2009,16,24,2049
MMA,Utility,Lotte Chemical,Yeosu,Yeosu Complex,50,2013,12,28,2053
MMA,Utility,LXMMA,Yeosu,Yeosu Complex,260,2001,24,16,2041
PMMA,Utility,Lotte MCC,Yeosu,Yeosu Complex,110,2008,17,23,2048
PMMA,Utility,LXMMA,Yeosu,Yeosu Complex,120,1991,34,6,2031
PMMA,Utility,Arkema,Jinhae,Other Regions,100,1999,26,14,2039
Carbon Black(CB),Utility,OCI,Gwangyang,Other Regions,150,1992,33,7,2032
Carbon Black(CB),Utility,HD Hyundai OCI,Daesan,Daesan Complex,136,2018,7,33,2058
Carbon Black(CB),Utility,Birla Carbon Korea,Yeosu,Yeosu Complex,193,1996,29,11,2036
Carbon Black(CB),Utility,Orion Engineered Carbons,Yeosu,Yeosu Complex,170,1979,46,-6,2019
Carbon Black(CB),Utility,OCI,Pohang,Other Regions,40,1981,44,-4,2021
Petroleum Resin,Utility,Kolon Industries,Daesan,Daesan Complex,87,2014,11,29,2054
Petroleum Resin,Utility,Kolon Industries,Yeosu,Yeosu Complex,50,2004,21,19,2044
Petroleum Resin,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,86,2019,6,34,2059
Petroleum Resin,Utility,Kolon Industries,Ulsan,Ulsan Complex,0,1978,47,-7,2018
Ethylene,Naphtha Cracker,S-Oil Shaheen,Onsan,Ulsan Complex,1800,2026,-1,41,2066
Propylene,Naphtha Cracker,S-Oil Shaheen,Onsan,Ulsan Complex,770,2026,-1,41,2066
Butadiene,Naphtha Cracker,S-Oil Shaheen,Onsan,Ulsan Complex,200,2026,-1,41,2066
Benzene,BTX Plant,S-Oil Shaheen,Onsan,Ulsan Complex,280,2026,-1,41,2066
HDPE,Utility,S-Oil Shaheen,Onsan,Ulsan Complex,400,2026,-1,41,2066
PP,Utility,S-Oil Shaheen,Onsan,Ulsan Complex,500,2026,-1,41,2066
