year,category,value,unit,panel,figure_type
2036,Electricity Flat,77.0,USD_per_MWh,A,line
2037,Electricity Flat,77.0,USD_per_MWh,A,line
2038,Electricity Flat,77.0,USD_per_MWh,A,line
2039,Electricity Flat,77.0,USD_per_MWh,A,line
2040,Electricity Flat,77.0,USD_per_MWh,A,line
2041,Electricity Flat,77.0,USD_per_MWh,A,line
2042,Electricity Flat,77.0,USD_per_MWh,A,line
2043,Electricity Flat,77.0,USD_per_MWh,A,line
2044,Electricity Flat,77.0,USD_per_MWh,A,line
2045,Electricity Flat,77.0,USD_per_MWh,A,line
2046,Electricity Flat,77.0,USD_per_MWh,A,line
2047,Electricity Flat,77.0,USD_per_MWh,A,line
2048,Electricity Flat,77.0,USD_per_MWh,A,line
2049,Electricity Flat,77.0,USD_per_MWh,A,line
2050,Electricity Flat,77.0,USD_per_MWh,A,line
2025,H2 Rising+Coupled,6.013216965677805,USD_per_kg,B,line
2026,H2 Rising+Coupled,6.105023052711287,USD_per_kg,B,line
2027,H2 Rising+Coupled,6.190606297674653,USD_per_kg,B,line
2028,H2 Rising+Coupled,6.273171439724408,USD_per_kg,B,line
2029,H2 Rising+Coupled,6.349370121366381,USD_per_kg,B,line
2030,H2 Rising+Coupled,6.422695586339566,USD_per_kg,B,line
2031,H2 Rising+Coupled,6.54991533855984,USD_per_kg,B,line
2032,H2 Rising+Coupled,6.675200597629511,USD_per_kg,B,line
2033,H2 Rising+Coupled,6.797654995207642,USD_per_kg,B,line
2034,H2 Rising+Coupled,6.918074102070484,USD_per_kg,B,line
2035,H2 Rising+Coupled,7.035576215782727,USD_per_kg,B,line
2036,H2 Rising+Coupled,7.151220970286531,USD_per_kg,B,line
2037,H2 Rising+Coupled,7.263863931791945,USD_per_kg,B,line
2038,H2 Rising+Coupled,7.374551400146759,USD_per_kg,B,line
2039,H2 Rising+Coupled,7.482335875350973,USD_per_kg,B,line
2040,H2 Rising+Coupled,7.588157857404588,USD_per_kg,B,line
2041,H2 Rising+Coupled,7.691171650721604,USD_per_kg,B,line
2042,H2 Rising+Coupled,7.79212748056839,USD_per_kg,B,line
2043,H2 Rising+Coupled,7.890194317264577,USD_per_kg,B,line
2044,H2 Rising+Coupled,7.986370467507271,USD_per_kg,B,line
2045,H2 Rising+Coupled,8.079578151996627,USD_per_kg,B,line
2046,H2 Rising+Coupled,8.170802343335382,USD_per_kg,B,line
2047,H2 Rising+Coupled,8.259151541523538,USD_per_kg,B,line
2048,H2 Rising+Coupled,8.345510246561096,USD_per_kg,B,line
2049,H2 Rising+Coupled,8.429083435617004,USD_per_kg,B,line
2050,H2 Rising+Coupled,8.51057598844773,USD_per_kg,B,line
2025,H2 Flat+Coupled,4.781106965677805,USD_per_kg,B,line
2026,H2 Flat+Coupled,4.695775452711287,USD_per_kg,B,line
2027,H2 Flat+Coupled,4.610242897674653,USD_per_kg,B,line
2028,H2 Flat+Coupled,4.526094339724407,USD_per_kg,B,line
2029,H2 Flat+Coupled,4.441659921366381,USD_per_kg,B,line
2030,H2 Flat+Coupled,4.358695586339566,USD_per_kg,B,line
2031,H2 Flat+Coupled,4.319140838559838,USD_per_kg,B,line
2032,H2 Flat+Coupled,4.27971359762951,USD_per_kg,B,line
2033,H2 Flat+Coupled,4.240506995207641,USD_per_kg,B,line
2034,H2 Flat+Coupled,4.201334102070484,USD_per_kg,B,line
2035,H2 Flat+Coupled,4.162288715782726,USD_per_kg,B,line
2036,H2 Flat+Coupled,4.123461970286531,USD_per_kg,B,line
2037,H2 Flat+Coupled,4.084670931791944,USD_per_kg,B,line
2038,H2 Flat+Coupled,4.046007400146758,USD_per_kg,B,line
2039,H2 Flat+Coupled,4.007471375350972,USD_per_kg,B,line
2040,H2 Flat+Coupled,3.969062857404587,USD_per_kg,B,line
2041,H2 Flat+Coupled,3.930869650721606,USD_per_kg,B,line
2042,H2 Flat+Coupled,3.892715480568391,USD_per_kg,B,line
2043,H2 Flat+Coupled,3.854688817264577,USD_per_kg,B,line
2044,H2 Flat+Coupled,3.816875467507271,USD_per_kg,B,line
2045,H2 Flat+Coupled,3.7791031519966256,USD_per_kg,B,line
2046,H2 Flat+Coupled,3.741458343335382,USD_per_kg,B,line
2047,H2 Flat+Coupled,3.7039410415235388,USD_per_kg,B,line
2048,H2 Flat+Coupled,3.6665512465610965,USD_per_kg,B,line
2049,H2 Flat+Coupled,3.629371435617004,USD_per_kg,B,line
2050,H2 Flat+Coupled,3.5922359884477317,USD_per_kg,B,line
2025,H2 Decoupled,4.615385,USD_per_kg,B,line
2026,H2 Decoupled,4.230769,USD_per_kg,B,line
2027,H2 Decoupled,3.846154,USD_per_kg,B,line
2028,H2 Decoupled,3.461538,USD_per_kg,B,line
2029,H2 Decoupled,3.076923,USD_per_kg,B,line
2030,H2 Decoupled,2.692308,USD_per_kg,B,line
2031,H2 Decoupled,2.653846,USD_per_kg,B,line
2032,H2 Decoupled,2.615385,USD_per_kg,B,line
2033,H2 Decoupled,2.576923,USD_per_kg,B,line
2034,H2 Decoupled,2.538462,USD_per_kg,B,line
2035,H2 Decoupled,2.5,USD_per_kg,B,line
2036,H2 Decoupled,2.461538,USD_per_kg,B,line
2037,H2 Decoupled,2.423077,USD_per_kg,B,line
2038,H2 Decoupled,2.384615,USD_per_kg,B,line
2039,H2 Decoupled,2.346154,USD_per_kg,B,line
2040,H2 Decoupled,2.307692,USD_per_kg,B,line
2041,H2 Decoupled,2.269231,USD_per_kg,B,line
2042,H2 Decoupled,2.230769,USD_per_kg,B,line
2043,H2 Decoupled,2.192308,USD_per_kg,B,line
2044,H2 Decoupled,2.153846,USD_per_kg,B,line
2045,H2 Decoupled,2.115385,USD_per_kg,B,line
2046,H2 Decoupled,2.076923,USD_per_kg,B,line
2047,H2 Decoupled,2.038462,USD_per_kg,B,line
2048,H2 Decoupled,2.0,USD_per_kg,B,line
2049,H2 Decoupled,1.961538,USD_per_kg,B,line
2050,H2 Decoupled,1.923077,USD_per_kg,B,line
