sheet,location,korean_original,english_translation,needs_manual_review
source_Original,"Row 243, Col 'products'",카본블랙(CB),카본블랙(CB),True
source_Original,"Row 244, Col 'products'",석유수지,석유수지,True
source_Original,"Row 245, Col 'products'",석유수지,석유수지,True
source_Original,"Row 246, Col 'products'",석유수지,석유수지,True
source_Original,"Row 247, Col 'products'",석유수지,석유수지,True
source_Original,"Row 75, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 76, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 77, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 78, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 79, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 80, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 81, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 82, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 83, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 84, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 85, Col 'upstream'",자일렌,Xylene,False
source_Original,"Row 88, Col 'upstream'","벤젠, Ethylene","Benzene, Ethylene",False
source_Original,"Row 89, Col 'upstream'","벤젠, Ethylene","Benzene, Ethylene",False
source_Original,"Row 90, Col 'upstream'","벤젠, Ethylene","Benzene, Ethylene",False
source_Original,"Row 91, Col 'upstream'","벤젠, Ethylene","Benzene, Ethylene",False
source_Original,"Row 92, Col 'upstream'","벤젠, Ethylene","Benzene, Ethylene",False
source_Original,"Row 172, Col 'upstream'","Butadiene, 스티렌","Butadiene, Styrene",False
source_Original,"Row 173, Col 'upstream'","Butadiene, 스티렌","Butadiene, Styrene",False
source_Original,"Row 174, Col 'upstream'","Butadiene, 스티렌","Butadiene, Styrene",False
source_Original,"Row 175, Col 'upstream'","Butadiene, 스티렌","Butadiene, Styrene",False
source_Original,"Row 176, Col 'upstream'","Butadiene, 스티렌","Butadiene, Styrene",False
source_Original,"Row 191, Col 'upstream'","초산, Ethylene","second산, Ethylene",True
source_Original,"Row 193, Col 'upstream'","초산, 에탄올","second산, 에탄올",True
source_Original,"Row 199, Col 'upstream'",벤젠,Benzene,False
source_Original,"Row 200, Col 'upstream'",벤젠,Benzene,False
source_Original,"Row 201, Col 'upstream'",벤젠,Benzene,False
source_Original,"Row 202, Col 'upstream'",벤젠,Benzene,False
source_Original,"Row 209, Col 'upstream'",벤젠,Benzene,False
source_Original,"Row 210, Col 'upstream'",벤젠,Benzene,False
source_Original,"Row 211, Col 'upstream'",벤젠,Benzene,False
source_Original,"Row 215, Col 'upstream'","페놀, 아세톤","페놀, 아세ton",True
source_Original,"Row 216, Col 'upstream'","페놀, 아세톤","페놀, 아세ton",True
source_Original,"Row 217, Col 'upstream'","페놀, 아се톤","페놀, 아сеton",True
source_Original,"Row 218, Col 'upstream'","페놀, 아세톤","페놀, 아세ton",True
source_Original,"Row 0, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 1, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 2, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 3, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 4, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 5, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 6, Col 'company'",여천NCC,여천NCC,True
source_Original,"Row 7, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 8, Col 'company'",대한유화,대한유화,True
source_Original,"Row 10, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 11, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 12, Col 'company'",HD현대오일뱅크,HDHyundai Oilbank,False
source_Original,"Row 13, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 14, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 15, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 16, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 17, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 18, Col 'company'",여천NCC,여천NCC,True
source_Original,"Row 19, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 20, Col 'company'",대한유화,대한유화,True
source_Original,"Row 22, Col 'company'",SK어드밴스드,SK어드밴스드,True
source_Original,"Row 23, Col 'company'",SK에너지,SK에너지,True
source_Original,"Row 24, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 25, Col 'company'",태광산업,태광산업,True
source_Original,"Row 26, Col 'company'",효성화학,효성화학,True
source_Original,"Row 27, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 28, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 29, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 30, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 31, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 32, Col 'company'",롯데GS화학,롯데GS화학,True
source_Original,"Row 33, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 34, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 35, Col 'company'",여천NCC,여천NCC,True
source_Original,"Row 36, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 37, Col 'company'",대한유화,대한유화,True
source_Original,"Row 38, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 40, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 41, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 42, Col 'company'",HD현대오일뱅크,HDHyundai Oilbank,False
source_Original,"Row 43, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 44, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 45, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 46, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 47, Col 'company'",여천NCC,여천NCC,True
source_Original,"Row 48, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 49, Col 'company'",대한유화,대한유화,True
source_Original,"Row 51, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 52, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 53, Col 'company'",울산아로마틱스,Ulsan아로마틱스,True
source_Original,"Row 54, Col 'company'",SK인천석유화학,SKIncheon석유화학,True
source_Original,"Row 56, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 57, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 58, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 59, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 60, Col 'company'",여천NCC,여천NCC,True
source_Original,"Row 61, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 62, Col 'company'",대한유화,대한유화,True
source_Original,"Row 64, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 65, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 66, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 67, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 68, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 69, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 70, Col 'company'",여천NCC,여천NCC,True
source_Original,"Row 71, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 72, Col 'company'",대한유화,대한유화,True
source_Original,"Row 74, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 75, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 76, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 77, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 78, Col 'company'",HD현대오일뱅크,HDHyundai Oilbank,False
source_Original,"Row 79, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 80, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 82, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 83, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 84, Col 'company'",울산아로마틱스,Ulsan아로마틱스,True
source_Original,"Row 85, Col 'company'",SK인천석유화학,SKIncheon석유화학,True
source_Original,"Row 86, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 87, Col 'company'",카프로,카프로,True
source_Original,"Row 88, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 89, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 90, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 91, Col 'company'",여천NCC,여천NCC,True
source_Original,"Row 93, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 94, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 95, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 96, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 97, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 98, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 99, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 100, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 101, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 102, Col 'company'",삼양화성,삼양화성,True
source_Original,"Row 103, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 104, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 105, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 106, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 107, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 108, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 109, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 110, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 111, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 112, Col 'company'",DL케미칼,DL케미칼,True
source_Original,"Row 113, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 114, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 115, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 117, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 118, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 119, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 120, Col 'company'",DL케미칼,DL케미칼,True
source_Original,"Row 121, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 122, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 123, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 124, Col 'company'",대한유화,대한유화,True
source_Original,"Row 125, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 126, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 127, Col 'company'",HD현대케미칼,HD현대케미칼,True
source_Original,"Row 128, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 129, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 130, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 131, Col 'company'",GS칼텍스,GS Caltex,False
source_Original,"Row 132, Col 'company'",폴리미래,폴리미래,True
source_Original,"Row 134, Col 'company'",대한유화,대한유화,True
source_Original,"Row 135, Col 'company'",SK지오센트릭,SK지오센트릭,True
source_Original,"Row 136, Col 'company'",울산피피,Ulsan피피,True
source_Original,"Row 137, Col 'company'",효성화학,효성화학,True
source_Original,"Row 138, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 139, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 140, Col 'company'",HDC현대EP,HDC현대EP,True
source_Original,"Row 141, Col 'company'",한국이네오스스티롤루션,한국이네오스스티롤루션,True
source_Original,"Row 142, Col 'company'",SH에너지화학,SH에너지화학,True
source_Original,"Row 143, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 144, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 145, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 146, Col 'company'",HDC현대EP,HDC현대EP,True
source_Original,"Row 147, Col 'company'",한국바스프,한국바스프,True
source_Original,"Row 148, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 149, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 150, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 151, Col 'company'",한국이네오스스티롤루션,한국이네오스스티롤루션,True
source_Original,"Row 152, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 153, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 154, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 155, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 156, Col 'company'",한화임팩트,한화임팩트,True
source_Original,"Row 157, Col 'company'",삼남석유화학,삼남석유화학,True
source_Original,"Row 158, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 159, Col 'company'",한화임팩트,한화임팩트,True
source_Original,"Row 160, Col 'company'",태광산업,태광산업,True
source_Original,"Row 161, Col 'company'",효성화학,효성화학,True
source_Original,"Row 162, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 163, Col 'company'",카프로,카프로,True
source_Original,"Row 164, Col 'company'",SK케미칼,SK Chemical,False
source_Original,"Row 165, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 166, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 167, Col 'company'",한화토탈에너지스,한화토탈에너지스,True
source_Original,"Row 168, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 169, Col 'company'",대한유화,대한유화,True
source_Original,"Row 170, Col 'company'",동서석유화학,동서석유화학,True
source_Original,"Row 171, Col 'company'",태광산업,태광산업,True
source_Original,"Row 172, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 173, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 174, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 175, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 176, Col 'company'",롯데베르살리스엘라스토머스,롯데베르살리스엘라스토머스,True
source_Original,"Row 177, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 178, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 179, Col 'company'",한국트린지오,한국트린지오,True
source_Original,"Row 180, Col 'company'",한솔케미칼,한솔케미칼,True
source_Original,"Row 181, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 182, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 183, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 184, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 185, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 186, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 187, Col 'company'",한솔케미칼,한솔케미칼,True
source_Original,"Row 188, Col 'company'",금호폴리켐,금호폴리켐,True
source_Original,"Row 189, Col 'company'",롯데베르살리스엘라스토머스,롯데베르살리스엘라스토머스,True
source_Original,"Row 190, Col 'company'",롯데이네오스화학,롯데이네오스화학,True
source_Original,"Row 191, Col 'company'",롯데이네오스화학,롯데이네오스화학,True
source_Original,"Row 192, Col 'company'",한국알콜산업,한국알콜산업,True
source_Original,"Row 193, Col 'company'",한국알콜산업,한국알콜산업,True
source_Original,"Row 194, Col 'company'",이수화학,이수화학,True
source_Original,"Row 195, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 196, Col 'company'",애경케미칼,애경케미칼,True
source_Original,"Row 197, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 199, Col 'company'",애경케미칼,애경케미칼,True
source_Original,"Row 200, Col 'company'",용산케미칼,용산케미칼,True
source_Original,"Row 201, Col 'company'",코리아피티지,코리아피티지,True
source_Original,"Row 202, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 204, Col 'company'",한국바스프,한국바스프,True
source_Original,"Row 205, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 206, Col 'company'",구다우케미칼,구다우케미칼,True
source_Original,"Row 207, Col 'company'",금호미쓰이화학,금호미쓰이화학,True
source_Original,"Row 208, Col 'company'",한국바스프,한국바스프,True
source_Original,"Row 209, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 210, Col 'company'",금호피앤비화학,금호피앤비화학,True
source_Original,"Row 211, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 212, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 213, Col 'company'",금호피앤비화학,금호피앤비화학,True
source_Original,"Row 214, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 215, Col 'company'",삼양이노켐,삼양이노켐,True
source_Original,"Row 216, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 217, Col 'company'",금호피앤비화학,금호피앤비화학,True
source_Original,"Row 218, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 219, Col 'company'",Bluecube케미칼,Bluecube케미칼,True
source_Original,"Row 220, Col 'company'",코오롱인더스트리,코오롱인더스트리,True
source_Original,"Row 221, Col 'company'",국도화학,국도화학,True
source_Original,"Row 222, Col 'company'",금호피앤비화학,금호피앤비화학,True
source_Original,"Row 223, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 224, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 225, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 226, Col 'company'",LG화학,LG Chem,False
source_Original,"Row 227, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 228, Col 'company'",금호석유화학,Kumho Petrochemical,False
source_Original,"Row 229, Col 'company'",피유코어,피유코어,True
source_Original,"Row 230, Col 'company'",KPX케미칼,KPX케미칼,True
source_Original,"Row 231, Col 'company'",한국바스프,한국바스프,True
source_Original,"Row 232, Col 'company'",롯데엠시시,롯데엠시시,True
source_Original,"Row 233, Col 'company'",롯데엠시시,롯데엠시시,True
source_Original,"Row 234, Col 'company'",롯데케미칼,Lotte Chemical,False
source_Original,"Row 236, Col 'company'",롯데엠시시,롯데엠시시,True
source_Original,"Row 238, Col 'company'",아케마,아케마,True
source_Original,"Row 240, Col 'company'",HD현대OCI,HD현대OCI,True
source_Original,"Row 241, Col 'company'",비틀라카본코리아,비틀라카본코리아,True
source_Original,"Row 242, Col 'company'",오리온엔지니어드카본즈,오리온엔지니어드카본즈,True
source_Original,"Row 244, Col 'company'",코오롱인더스트리,코오롱인더스트리,True
source_Original,"Row 245, Col 'company'",코오롱인더스트리,코오롱인더스트리,True
source_Original,"Row 246, Col 'company'",한화솔루션,한화솔루션,True
source_Original,"Row 247, Col 'company'",코오롱인더스트리,코오롱인더스트리,True
source_Original,"Row 0, Col 'location'",대산,Daesan,False
source_Original,"Row 1, Col 'location'",대산,Daesan,False
source_Original,"Row 2, Col 'location'",대산,Daesan,False
source_Original,"Row 3, Col 'location'",대산,Daesan,False
source_Original,"Row 4, Col 'location'",여수,Yeosu,False
source_Original,"Row 5, Col 'location'",여수,Yeosu,False
source_Original,"Row 6, Col 'location'",여수,Yeosu,False
source_Original,"Row 7, Col 'location'",여수,Yeosu,False
source_Original,"Row 8, Col 'location'",온산,Onsan,False
source_Original,"Row 9, Col 'location'",온산,Onsan,False
source_Original,"Row 10, Col 'location'",울산,Ulsan,False
source_Original,"Row 11, Col 'location'",대산,Daesan,False
source_Original,"Row 12, Col 'location'",대산,Daesan,False
source_Original,"Row 13, Col 'location'",대산,Daesan,False
source_Original,"Row 14, Col 'location'",대산,Daesan,False
source_Original,"Row 15, Col 'location'",대산,Daesan,False
source_Original,"Row 16, Col 'location'",여수,Yeosu,False
source_Original,"Row 17, Col 'location'",여수,Yeosu,False
source_Original,"Row 18, Col 'location'",여수,Yeosu,False
source_Original,"Row 19, Col 'location'",여수,Yeosu,False
source_Original,"Row 20, Col 'location'",온산,Onsan,False
source_Original,"Row 21, Col 'location'",온산,Onsan,False
source_Original,"Row 22, Col 'location'",울산,Ulsan,False
source_Original,"Row 23, Col 'location'",울산,Ulsan,False
source_Original,"Row 24, Col 'location'",울산,Ulsan,False
source_Original,"Row 25, Col 'location'",울산,Ulsan,False
source_Original,"Row 26, Col 'location'",울산,Ulsan,False
source_Original,"Row 27, Col 'location'",대산,Daesan,False
source_Original,"Row 28, Col 'location'",대산,Daesan,False
source_Original,"Row 29, Col 'location'",대산,Daesan,False
source_Original,"Row 30, Col 'location'",대산,Daesan,False
source_Original,"Row 31, Col 'location'",여수,Yeosu,False
source_Original,"Row 32, Col 'location'",여수,Yeosu,False
source_Original,"Row 33, Col 'location'",여수,Yeosu,False
source_Original,"Row 34, Col 'location'",여수,Yeosu,False
source_Original,"Row 35, Col 'location'",여수,Yeosu,False
source_Original,"Row 36, Col 'location'",울산,Ulsan,False
source_Original,"Row 37, Col 'location'",울산,Ulsan,False
source_Original,"Row 38, Col 'location'",울산,Ulsan,False
source_Original,"Row 39, Col 'location'",광양,Gwangyang,False
source_Original,"Row 40, Col 'location'",대산,Daesan,False
source_Original,"Row 41, Col 'location'",대산,Daesan,False
source_Original,"Row 42, Col 'location'",대산,Daesan,False
source_Original,"Row 43, Col 'location'",대산,Daesan,False
source_Original,"Row 44, Col 'location'",대산,Daesan,False
source_Original,"Row 45, Col 'location'",여수,Yeosu,False
source_Original,"Row 46, Col 'location'",여수,Yeosu,False
source_Original,"Row 47, Col 'location'",여수,Yeosu,False
source_Original,"Row 48, Col 'location'",여수,Yeosu,False
source_Original,"Row 49, Col 'location'",온산,Onsan,False
source_Original,"Row 50, Col 'location'",온산,Onsan,False
source_Original,"Row 51, Col 'location'",울산,Ulsan,False
source_Original,"Row 52, Col 'location'",울산,Ulsan,False
source_Original,"Row 53, Col 'location'",울산,Ulsan,False
source_Original,"Row 54, Col 'location'",인천,Incheon,False
source_Original,"Row 55, Col 'location'",광양,Gwangyang,False
source_Original,"Row 56, Col 'location'",대산,Daesan,False
source_Original,"Row 57, Col 'location'",대산,Daesan,False
source_Original,"Row 58, Col 'location'",여수,Yeosu,False
source_Original,"Row 59, Col 'location'",여수,Yeosu,False
source_Original,"Row 60, Col 'location'",여수,Yeosu,False
source_Original,"Row 61, Col 'location'",여수,Yeosu,False
source_Original,"Row 62, Col 'location'",온산,Onsan,False
source_Original,"Row 63, Col 'location'",온산,Onsan,False
source_Original,"Row 64, Col 'location'",울산,Ulsan,False
source_Original,"Row 65, Col 'location'",대산,Daesan,False
source_Original,"Row 66, Col 'location'",대산,Daesan,False
source_Original,"Row 67, Col 'location'",대산,Daesan,False
source_Original,"Row 68, Col 'location'",여수,Yeosu,False
source_Original,"Row 69, Col 'location'",여수,Yeosu,False
source_Original,"Row 70, Col 'location'",여수,Yeosu,False
source_Original,"Row 71, Col 'location'",여수,Yeosu,False
