Product,Category,Our_Model_GJ_per_t,Literature_Value_GJ_per_t,Literature_Range,Scope,Source,Year,Notes
PC,Intermediate,0.003,110.0,100-120,Cradle-to-gate incl. feedstock,PlasticsEurope,2019,Polycarbonate from BPA
MMA,Intermediate,0.003,65.0,55-75,Process energy only,Industry estimate,2020,ACH or ethylene route
PMMA,Intermediate,0.004,90.0,80-100,Cradle-to-gate incl. feedstock,PlasticsEurope,2019,Polymerization of MMA
AN,Intermediate,0.004,35.0,30-40,Process energy only,Industry estimate,2020,Sohio process
MDI,Intermediate,0.003,85.0,75-95,Cradle-to-gate incl. feedstock,ISOPA,2017,Includes aniline production
TDI,Intermediate,0.003,80.0,70-90,Cradle-to-gate incl. feedstock,ISOPA,2017,Toluene diisocyanate
Epoxy Resin,Intermediate,0.003,120.0,100-140,Cradle-to-gate incl. feedstock,PlasticsEurope,2019,BPA + epichlorohydrin
C-H,NCC,18.81,20.0,15-25,Process energy only,Industry estimate,2020,Cyclohexane from benzene
BR,Rubber,0.003,80.0,70-90,Cradle-to-gate incl. feedstock,IISRP,2018,Butadiene rubber
SBR,Rubber,0.003,75.0,65-85,Cradle-to-gate incl. feedstock,IISRP,2018,Styrene-butadiene rubber
EPDM,Rubber,0.003,85.0,75-95,Cradle-to-gate incl. feedstock,IISRP,2018,Ethylene-propylene-diene
NBR,Rubber,0.003,80.0,70-90,Cradle-to-gate incl. feedstock,IISRP,2018,Nitrile rubber
S-SBR,Rubber,0.003,78.0,68-88,Cradle-to-gate incl. feedstock,IISRP,2018,Solution SBR
NB-Latex,Rubber,0.003,50.0,40-60,Cradle-to-gate incl. feedstock,Industry estimate,2020,Latex production
SB-Latex,Rubber,0.003,45.0,35-55,Cradle-to-gate incl. feedstock,Industry estimate,2020,Latex production
Acetone,Chemical,0.003,5.0,3-8,Process energy only,Industry estimate,2020,Co-product of phenol
Acetic Acid,Chemical,0.003,15.0,10-20,Process energy only,Industry estimate,2020,Methanol carbonylation
Carbon Black(CB),Chemical,0.003,30.0,25-35,Process energy only,ICBA,2016,Furnace black process
Petroleum Resin,Chemical,0.003,20.0,15-25,Process energy only,Industry estimate,2020,C5/C9 polymerization
PPG,Chemical,0.003,35.0,30-40,Process energy only,Industry estimate,2020,Propylene oxide polymerization
Octanol,Chemical,0.003,25.0,20-30,Process energy only,Industry estimate,2020,Oxo process
Butanol,Chemical,0.003,30.0,25-35,Process energy only,Industry estimate,2020,Oxo process
Ethanol,Chemical,0.003,25.0,20-30,Process energy only,Industry estimate,2020,Ethylene hydration
Vinyl Acetate,Chemical,0.003,20.0,15-25,Process energy only,Industry estimate,2020,Ethylene + acetic acid
Ethyl Acetate,Chemical,0.003,15.0,10-20,Process energy only,Industry estimate,2020,Esterification
Alkylbenzene,Chemical,0.003,10.0,8-15,Process energy only,Industry estimate,2020,Friedel-Crafts alkylation
MA,Chemical,0.003,25.0,20-30,Process energy only,Industry estimate,2020,Maleic anhydride
O-X,BTX,0.003,5.0,3-8,Process energy only,Industry estimate,2020,Ortho-xylene separation
M-X,BTX,0.003,5.0,3-8,Process energy only,Industry estimate,2020,Meta-xylene separation
DMT,Chemical,0.003,40.0,35-45,Process energy only,Industry estimate,2020,Dimethyl terephthalate
PA,Chemical,0.003,50.0,45-55,Process energy only,Industry estimate,2020,Phthalic anhydride
CPLM,Chemical,0.003,45.0,40-50,Process energy only,Industry estimate,2020,Caprolactam
